complaint_text,category,priority,department
Multiple complaints have been raised about chemical discharge.,Pollution,Medium,Pollution Department
Residents are facing kidnapping complaint in the area.,Crime,High,Crime Department
Residents are facing illegal payment demand in the area.,Corruption,Medium,Corruption Department
Citizens have repeatedly reported poor housing conditions.,Housing,Medium,Housing Department
Please take immediate action regarding missing lights.,Streetlight,Medium,Streetlight Department
Multiple complaints have been raised about illegal occupation.,Encroachment,Medium,Encroachment Department
Urgent attention is required due to waterlogging.,Flooding,High,Flooding Department
Authorities have not resolved the roof leakage yet.,Housing,Medium,Housing Department
Urgent attention is required due to flooded street.,Flooding,High,Flooding Department
Citizens have repeatedly reported broken playground equipment.,Parks,Low,Parks Department
The locality has been affected by river pollution for several days.,Environment,Medium,Environment Department
Urgent attention is required due to nighttime noise.,Noise Pollution,Medium,Noise Pollution Department
Residents are facing unsafe pedestrian crossing in the area.,Public Safety,Medium,Public Safety Department
Citizens have repeatedly reported stagnant water.,Drainage,Medium,Drainage Department
Multiple complaints have been raised about ecosystem damage.,Environment,Medium,Environment Department
There is a serious problem involving encroaching structure.,Illegal Construction,Medium,Illegal Construction Department
Citizens have repeatedly reported monkey nuisance.,Animal Issues,Medium,Animal Issues Department
The locality has been affected by unsafe apartment for several days.,Housing,Medium,Housing Department
Urgent attention is required due to road encroachment.,Encroachment,Medium,Encroachment Department
People are suffering because of poor housing conditions.,Housing,Medium,Housing Department
Urgent attention is required due to uncleared waste.,Waste,Medium,Waste Department
The locality has been affected by hospital overcrowding for several days.,Healthcare,High,Healthcare Department
Citizens have repeatedly reported water shortage.,Water,High,Water Department
Please take immediate action regarding missing extinguishers.,Fire Hazard,High,Fire Hazard Department
Multiple complaints have been raised about monkey nuisance.,Animal Issues,Medium,Animal Issues Department
There is a serious problem involving assault report.,Crime,High,Crime Department
The locality has been affected by lack of police patrol for several days.,Public Safety,Medium,Public Safety Department
Please take immediate action regarding unauthorized construction.,Illegal Construction,Medium,Illegal Construction Department
Citizens have repeatedly reported broadband failure.,Telecom,Medium,Telecom Department
There is a serious problem involving road blockage.,Transport,Medium,Transport Department
Citizens have repeatedly reported electric line fault.,Electricity,High,Electricity Department
There is a serious problem involving harassment of women.,Women & Child Safety,High,Women & Child Safety Department
The situation is worsening because of collapsed pavement.,Infrastructure,Medium,Infrastructure Department
People are suffering because of overgrown vegetation.,Parks,Low,Parks Department
Multiple complaints have been raised about broadband failure.,Telecom,Medium,Telecom Department
Authorities have not resolved the water shortage in toilet yet.,Public Toilets,Medium,Public Toilets Department
There is a serious problem involving water shortage in toilet.,Public Toilets,Medium,Public Toilets Department
There is a serious problem involving certificate issue.,Government Services,Medium,Government Services Department
Citizens have repeatedly reported injured animal.,Animal Issues,Medium,Animal Issues Department
The situation is worsening because of lack of sanitation.,Public Toilets,Medium,Public Toilets Department
Urgent attention is required due to blocked fire exit.,Fire Hazard,High,Fire Hazard Department
Urgent attention is required due to stray dog attack.,Animal Issues,Medium,Animal Issues Department
People are suffering because of medicine shortage.,Healthcare,High,Healthcare Department
Please take immediate action regarding flood risk.,Flooding,High,Flooding Department
Citizens have repeatedly reported large potholes.,Infrastructure,Medium,Infrastructure Department
Citizens have repeatedly reported lack of police patrol.,Public Safety,Medium,Public Safety Department
Authorities have not resolved the illegal dumping yet.,Waste,Medium,Waste Department
There is a serious problem involving flood risk.,Flooding,High,Flooding Department
Citizens have repeatedly reported tree cutting.,Environment,Medium,Environment Department
Authorities have not resolved the broken toilet facility yet.,Public Toilets,Medium,Public Toilets Department
Residents are facing public grievance unresolved in the area.,Government Services,Medium,Government Services Department
Authorities have not resolved the sewage smell yet.,Sewage,High,Sewage Department
People are suffering because of fire safety violation.,Fire Hazard,High,Fire Hazard Department
Authorities have not resolved the poor drainage system yet.,Drainage,Medium,Drainage Department
Multiple complaints have been raised about overgrown vegetation.,Parks,Low,Parks Department
There is a serious problem involving certificate issue.,Government Services,Medium,Government Services Department
Authorities have not resolved the medicine shortage yet.,Healthcare,High,Healthcare Department
Authorities have not resolved the fire safety violation yet.,Fire Hazard,High,Fire Hazard Department
The locality has been affected by flooded street for several days.,Flooding,High,Flooding Department
The locality has been affected by broken toilet facility for several days.,Public Toilets,Medium,Public Toilets Department
Residents are facing nighttime noise in the area.,Noise Pollution,Medium,Noise Pollution Department
Multiple complaints have been raised about missing child report.,Women & Child Safety,High,Women & Child Safety Department
Please take immediate action regarding government portal outage.,Digital Services,Low,Digital Services Department
The locality has been affected by construction without permit for several days.,Illegal Construction,Medium,Illegal Construction Department
The locality has been affected by open sewage for several days.,Sewage,High,Sewage Department
Authorities have not resolved the voltage fluctuation yet.,Electricity,High,Electricity Department
There is a serious problem involving urban flooding.,Flooding,High,Flooding Department
Authorities have not resolved the rainwater accumulation yet.,Flooding,High,Flooding Department
Urgent attention is required due to lack of toilets in school.,Education,Medium,Education Department
There is a serious problem involving unclean public toilet.,Public Toilets,Medium,Public Toilets Department
Residents are facing dry public taps in the area.,Water,High,Water Department
Please take immediate action regarding dark street.,Streetlight,Medium,Streetlight Department
Residents are facing network outage in the area.,Telecom,Medium,Telecom Department
Residents are facing hospital overcrowding in the area.,Healthcare,High,Healthcare Department
Citizens have repeatedly reported construction noise.,Noise Pollution,Medium,Noise Pollution Department
Please take immediate action regarding collapsed pavement.,Infrastructure,Medium,Infrastructure Department
There is a serious problem involving online service failure.,Digital Services,Low,Digital Services Department
People are suffering because of corrupt practice.,Corruption,Medium,Corruption Department
Multiple complaints have been raised about road blockage.,Transport,Medium,Transport Department
The locality has been affected by crop damage for several days.,Agriculture,Medium,Agriculture Department
Multiple complaints have been raised about blocked drain.,Drainage,Medium,Drainage Department
Multiple complaints have been raised about contaminated drinking water.,Water,High,Water Department
Authorities have not resolved the street vendor blockage yet.,Encroachment,Medium,Encroachment Department
Please take immediate action regarding official misconduct.,Corruption,Medium,Corruption Department
Please take immediate action regarding online service failure.,Digital Services,Low,Digital Services Department
Multiple complaints have been raised about corrupt practice.,Corruption,Medium,Corruption Department
Multiple complaints have been raised about illegal parking.,Parking,Low,Parking Department
People are suffering because of illegal parking.,Parking,Low,Parking Department
People are suffering because of damaged benches.,Parks,Low,Parks Department
People are suffering because of waste collection delay.,Waste,Medium,Waste Department
There is a serious problem involving pipeline leakage.,Water,High,Water Department
People are suffering because of chemical discharge.,Pollution,Medium,Pollution Department
The locality has been affected by construction without permit for several days.,Illegal Construction,Medium,Illegal Construction Department
The situation is worsening because of loss of green cover.,Environment,Medium,Environment Department
Multiple complaints have been raised about encroaching structure.,Illegal Construction,Medium,Illegal Construction Department
There is a serious problem involving blocked driveway.,Parking,Low,Parking Department
Multiple complaints have been raised about monkey nuisance.,Animal Issues,Medium,Animal Issues Department
Citizens have repeatedly reported unsafe classrooms.,Education,Medium,Education Department
Urgent attention is required due to unclean public toilet.,Public Toilets,Medium,Public Toilets Department
Citizens have repeatedly reported office inefficiency.,Government Services,Medium,Government Services Department
Multiple complaints have been raised about broadband failure.,Telecom,Medium,Telecom Department
People are suffering because of industrial noise.,Noise Pollution,Medium,Noise Pollution Department
People are suffering because of pipeline leakage.,Water,High,Water Department
Citizens have repeatedly reported signal malfunction.,Transport,Medium,Transport Department
People are suffering because of damaged streetlight pole.,Streetlight,Medium,Streetlight Department
Urgent attention is required due to broken school furniture.,Education,Medium,Education Department
The situation is worsening because of park maintenance issue.,Parks,Low,Parks Department
Citizens have repeatedly reported theft incident.,Crime,High,Crime Department
There is a serious problem involving fertilizer shortage.,Agriculture,Medium,Agriculture Department
There is a serious problem involving broken playground equipment.,Parks,Low,Parks Department
There is a serious problem involving construction without permit.,Illegal Construction,Medium,Illegal Construction Department
Please take immediate action regarding illegal parking.,Parking,Low,Parking Department
Authorities have not resolved the drain overflow yet.,Drainage,Medium,Drainage Department
Urgent attention is required due to official misconduct.,Corruption,Medium,Corruption Department
People are suffering because of public land encroachment.,Encroachment,Medium,Encroachment Department
The situation is worsening because of missing extinguishers.,Fire Hazard,High,Fire Hazard Department
The situation is worsening because of missing lights.,Streetlight,Medium,Streetlight Department
There is a serious problem involving rainwater accumulation.,Flooding,High,Flooding Department
Urgent attention is required due to unsafe classrooms.,Education,Medium,Education Department
Citizens have repeatedly reported lack of doctors.,Healthcare,High,Healthcare Department
The situation is worsening because of waterlogging.,Flooding,High,Flooding Department
Citizens have repeatedly reported poor mobile signal.,Telecom,Medium,Telecom Department
Urgent attention is required due to assault report.,Crime,High,Crime Department
The situation is worsening because of farm water problem.,Agriculture,Medium,Agriculture Department
Please take immediate action regarding traffic noise.,Noise Pollution,Medium,Noise Pollution Department
Urgent attention is required due to toilet maintenance issue.,Public Toilets,Medium,Public Toilets Department
The locality has been affected by medicine shortage for several days.,Healthcare,High,Healthcare Department
The situation is worsening because of blocked drain.,Drainage,Medium,Drainage Department
Residents are facing broken footpath in the area.,Infrastructure,Medium,Infrastructure Department
Urgent attention is required due to electric line fault.,Electricity,High,Electricity Department
There is a serious problem involving official misconduct.,Corruption,Medium,Corruption Department
Multiple complaints have been raised about air pollution.,Pollution,Medium,Pollution Department
There is a serious problem involving poor drainage system.,Drainage,Medium,Drainage Department
The locality has been affected by injured animal for several days.,Animal Issues,Medium,Animal Issues Department
There is a serious problem involving voltage fluctuation.,Electricity,High,Electricity Department
Authorities have not resolved the air pollution yet.,Pollution,Medium,Pollution Department
Multiple complaints have been raised about fire safety violation.,Fire Hazard,High,Fire Hazard Department
The locality has been affected by unauthorized construction for several days.,Illegal Construction,Medium,Illegal Construction Department
Urgent attention is required due to unsafe bridge.,Infrastructure,Medium,Infrastructure Department
Please take immediate action regarding uncleared waste.,Waste,Medium,Waste Department
Multiple complaints have been raised about damaged benches.,Parks,Low,Parks Department
Citizens have repeatedly reported nighttime noise.,Noise Pollution,Medium,Noise Pollution Department
Authorities have not resolved the telecom service issue yet.,Telecom,Medium,Telecom Department
Urgent attention is required due to monkey nuisance.,Animal Issues,Medium,Animal Issues Department
Authorities have not resolved the sewage smell yet.,Sewage,High,Sewage Department
Multiple complaints have been raised about clogged storm drain.,Drainage,Medium,Drainage Department
Please take immediate action regarding electric line fault.,Electricity,High,Electricity Department
Citizens have repeatedly reported poor mobile signal.,Telecom,Medium,Telecom Department
The locality has been affected by school infrastructure issue for several days.,Education,Medium,Education Department
The situation is worsening because of hospital overcrowding.,Healthcare,High,Healthcare Department
Residents are facing uncleared waste in the area.,Waste,Medium,Waste Department
Multiple complaints have been raised about river pollution.,Environment,Medium,Environment Department
Residents are facing flammable waste in the area.,Fire Hazard,High,Fire Hazard Department
Urgent attention is required due to medicine shortage.,Healthcare,High,Healthcare Department
Please take immediate action regarding illegal payment demand.,Corruption,Medium,Corruption Department
Urgent attention is required due to footpath encroachment.,Encroachment,Medium,Encroachment Department
Citizens have repeatedly reported blocked driveway.,Parking,Low,Parking Department
The situation is worsening because of tree cutting.,Environment,Medium,Environment Department
Urgent attention is required due to hospital overcrowding.,Healthcare,High,Healthcare Department
Please take immediate action regarding toilet maintenance issue.,Public Toilets,Medium,Public Toilets Department
Urgent attention is required due to transformer failure.,Electricity,High,Electricity Department
Urgent attention is required due to nighttime noise.,Noise Pollution,Medium,Noise Pollution Department
There is a serious problem involving stray dog attack.,Animal Issues,Medium,Animal Issues Department
Authorities have not resolved the corrupt practice yet.,Corruption,Medium,Corruption Department
The situation is worsening because of broken school furniture.,Education,Medium,Education Department
Please take immediate action regarding electrical fire risk.,Fire Hazard,High,Fire Hazard Department
Authorities have not resolved the loudspeaker disturbance yet.,Noise Pollution,Medium,Noise Pollution Department
Multiple complaints have been raised about pest infestation.,Agriculture,Medium,Agriculture Department
Please take immediate action regarding school infrastructure issue.,Education,Medium,Education Department
Multiple complaints have been raised about poor sanitation in hospital.,Healthcare,High,Healthcare Department
Multiple complaints have been raised about contaminated drinking water.,Water,High,Water Department
There is a serious problem involving transformer failure.,Electricity,High,Electricity Department
Urgent attention is required due to unsafe apartment.,Housing,Medium,Housing Department
Authorities have not resolved the road blockage yet.,Transport,Medium,Transport Department
Please take immediate action regarding construction without permit.,Illegal Construction,Medium,Illegal Construction Department
Authorities have not resolved the flammable waste yet.,Fire Hazard,High,Fire Hazard Department
Please take immediate action regarding rainwater accumulation.,Flooding,High,Flooding Department
People are suffering because of sewer blockage.,Sewage,High,Sewage Department
Urgent attention is required due to river pollution.,Environment,Medium,Environment Department
The situation is worsening because of street vendor blockage.,Encroachment,Medium,Encroachment Department
Please take immediate action regarding load shedding.,Electricity,High,Electricity Department
People are suffering because of rainwater accumulation.,Flooding,High,Flooding Department
The situation is worsening because of chemical discharge.,Pollution,Medium,Pollution Department
The situation is worsening because of unclean public toilet.,Public Toilets,Medium,Public Toilets Department
Residents are facing monkey nuisance in the area.,Animal Issues,Medium,Animal Issues Department
People are suffering because of cybercrime activity.,Crime,High,Crime Department
There is a serious problem involving industrial noise.,Noise Pollution,Medium,Noise Pollution Department
Citizens have repeatedly reported network outage.,Telecom,Medium,Telecom Department
The locality has been affected by broken school furniture for several days.,Education,Medium,Education Department
There is a serious problem involving child safety concern.,Women & Child Safety,High,Women & Child Safety Department
Please take immediate action regarding office inefficiency.,Government Services,Medium,Government Services Department
Citizens have repeatedly reported dry public taps.,Water,High,Water Department
Urgent attention is required due to official misconduct.,Corruption,Medium,Corruption Department
The situation is worsening because of park maintenance issue.,Parks,Low,Parks Department
Citizens have repeatedly reported tree cutting.,Environment,Medium,Environment Department
There is a serious problem involving unclean public toilet.,Public Toilets,Medium,Public Toilets Department
There is a serious problem involving industrial smoke.,Pollution,Medium,Pollution Department
The situation is worsening because of child safety concern.,Women & Child Safety,High,Women & Child Safety Department
Authorities have not resolved the corrupt practice yet.,Corruption,Medium,Corruption Department
There is a serious problem involving broken toilet facility.,Public Toilets,Medium,Public Toilets Department
The situation is worsening because of ambulance delay.,Healthcare,High,Healthcare Department
Citizens have repeatedly reported collapsed pavement.,Infrastructure,Medium,Infrastructure Department
The situation is worsening because of eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
Please take immediate action regarding irrigation issue.,Agriculture,Medium,Agriculture Department
People are suffering because of lack of toilets in school.,Education,Medium,Education Department
Urgent attention is required due to eve teasing incident.,Women & Child Safety,High,Women & Child Safety Department
Urgent attention is required due to unclean public toilet.,Public Toilets,Medium,Public Toilets Department
Multiple complaints have been raised about pest infestation.,Agriculture,Medium,Agriculture Department
The locality has been affected by digital payment issue for several days.,Digital Services,Low,Digital Services Department
There is a serious problem involving animal shelter issue.,Animal Issues,Medium,Animal Issues Department
The situation is worsening because of damaged streetlight pole.,Streetlight,Medium,Streetlight Department
Authorities have not resolved the telecom service issue yet.,Telecom,Medium,Telecom Department
Citizens have repeatedly reported injured animal.,Animal Issues,Medium,Animal Issues Department
Multiple complaints have been raised about official misconduct.,Corruption,Medium,Corruption Department
Authorities have not resolved the lack of police patrol yet.,Public Safety,Medium,Public Safety Department
There is a serious problem involving voltage fluctuation.,Electricity,High,Electricity Department
Authorities have not resolved the illegal payment demand yet.,Corruption,Medium,Corruption Department
There is a serious problem involving footpath encroachment.,Encroachment,Medium,Encroachment Department
The situation is worsening because of transformer failure.,Electricity,High,Electricity Department
Please take immediate action regarding website not working.,Digital Services,Low,Digital Services Department
Please take immediate action regarding open sewage.,Sewage,High,Sewage Department
Residents are facing unsafe apartment in the area.,Housing,Medium,Housing Department
Authorities have not resolved the irrigation issue yet.,Agriculture,Medium,Agriculture Department
Please take immediate action regarding sewer blockage.,Sewage,High,Sewage Department
People are suffering because of flammable waste.,Fire Hazard,High,Fire Hazard Department
Please take immediate action regarding industrial noise.,Noise Pollution,Medium,Noise Pollution Department
The situation is worsening because of wastewater leakage.,Sewage,High,Sewage Department
There is a serious problem involving abandoned building risk.,Public Safety,Medium,Public Safety Department
Residents are facing sewage smell in the area.,Sewage,High,Sewage Department
Citizens have repeatedly reported loudspeaker disturbance.,Noise Pollution,Medium,Noise Pollution Department
Citizens have repeatedly reported encroaching structure.,Illegal Construction,Medium,Illegal Construction Department
Authorities have not resolved the crop damage yet.,Agriculture,Medium,Agriculture Department
There is a serious problem involving air pollution.,Pollution,Medium,Pollution Department
Residents are facing poor public transport in the area.,Transport,Medium,Transport Department
Residents are facing voltage fluctuation in the area.,Electricity,High,Electricity Department
People are suffering because of stagnant water.,Drainage,Medium,Drainage Department
Citizens have repeatedly reported loss of green cover.,Environment,Medium,Environment Department
Multiple complaints have been raised about unsafe apartment.,Housing,Medium,Housing Department
